feature_weights,metric,motif_minus_native,ci95_low,ci95_high,contains_zero
1/1,degree,0.00060376,-0.01222956,0.01343708,true
1/1,clustering,-0.00007034,-0.00021252,0.00007183,true
1/1,orbit,0.00420935,-0.04442295,0.05284166,true
1/1,spectral,-0.00096947,-0.00984747,0.00790853,true
1/1,diameter,-0.00172510,-0.11449920,0.11104900,true
1/1,lcc_nodes,-0.36000000,-6.68754543,5.96754543,true
1/1,raw_nodes,0.45666667,-8.23147255,9.14480588,true
40/40,degree,-0.00181479,-0.00781185,0.00418228,true
40/40,clustering,0.00001590,-0.00005250,0.00008430,true
40/40,orbit,-0.01244630,-0.05744061,0.03254801,true
40/40,spectral,-0.00318434,-0.01794499,0.01157632,true
40/40,diameter,0.02976437,-0.12873498,0.18826371,true
40/40,lcc_nodes,0.42000000,-16.29388607,17.13388607,true
40/40,raw_nodes,0.53166667,-10.56302141,11.62635475,true
