config,template,stage,dataset,model,syntactic_literal_rule_mode,alpha_node_feat,alpha_edge_feat,alpha_motif_loss,alpha_syntactic_literal_motif_loss,run_label,graph_save_path
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m0p01.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,0.1,0.1,0.01,0.01,coarse_lobster_graphvae_motif-lobster_graphvae_both_n0p1_e0p1_m0p01,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m0p01
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m0p03.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,0.1,0.1,0.03,0.03,coarse_lobster_graphvae_motif-lobster_graphvae_both_n0p1_e0p1_m0p03,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m0p03
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m0p1.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,0.1,0.1,0.1,0.1,coarse_lobster_graphvae_motif-lobster_graphvae_both_n0p1_e0p1_m0p1,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m0p1
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m0p3.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,0.1,0.1,0.3,0.3,coarse_lobster_graphvae_motif-lobster_graphvae_both_n0p1_e0p1_m0p3,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m0p3
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m1.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,0.1,0.1,1.0,1.0,coarse_lobster_graphvae_motif-lobster_graphvae_both_n0p1_e0p1_m1,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n0p1_e0p1_m1
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m0p01.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,1.0,1.0,0.01,0.01,coarse_lobster_graphvae_motif-lobster_graphvae_both_n1_e1_m0p01,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m0p01
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m0p03.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,1.0,1.0,0.03,0.03,coarse_lobster_graphvae_motif-lobster_graphvae_both_n1_e1_m0p03,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m0p03
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m0p1.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,1.0,1.0,0.1,0.1,coarse_lobster_graphvae_motif-lobster_graphvae_both_n1_e1_m0p1,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m0p1
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m0p3.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,1.0,1.0,0.3,0.3,coarse_lobster_graphvae_motif-lobster_graphvae_both_n1_e1_m0p3,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m0p3
configs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m1.yaml,configs/cluster_tests/lobster_table2_05_graphvae_motif_both_no_temp.yaml,coarse,LOBSTER,GraphVAE,both,1.0,1.0,1.0,1.0,coarse_lobster_graphvae_motif-lobster_graphvae_both_n1_e1_m1,runs/loss_weight_sweeps/coarse_lobster_graphvae_motif/lobster_graphvae_both_n1_e1_m1
