rollout,graph_index,target_nodes,mode,raw_nodes,raw_edges,lcc_nodes,lcc_edges
0,0,30,full_threshold_0p5,15,13,9,8
0,0,30,cropped_threshold_0p5,15,13,9,8
0,0,30,cropped_calibrated,15,16,15,16
0,0,30,cropped_fixed_budget,29,45,29,45
0,1,71,full_threshold_0p5,56,55,56,55
0,1,71,cropped_threshold_0p5,56,55,56,55
0,1,71,cropped_calibrated,56,56,56,56
0,1,71,cropped_fixed_budget,51,45,32,31
0,2,73,full_threshold_0p5,16,11,4,3
0,2,73,cropped_threshold_0p5,16,11,4,3
0,2,73,cropped_calibrated,36,34,10,10
0,2,73,cropped_fixed_budget,42,45,18,22
0,3,92,full_threshold_0p5,23,21,21,20
0,3,92,cropped_threshold_0p5,23,21,21,20
0,3,92,cropped_calibrated,31,29,27,27
0,3,92,cropped_fixed_budget,50,45,30,32
0,4,86,full_threshold_0p5,24,19,12,11
0,4,86,cropped_threshold_0p5,24,19,12,11
0,4,86,cropped_calibrated,37,36,23,22
0,4,86,cropped_fixed_budget,43,45,43,45
0,5,25,full_threshold_0p5,39,38,30,32
0,5,25,cropped_threshold_0p5,24,24,24,24
0,5,25,cropped_calibrated,25,36,25,36
0,5,25,cropped_fixed_budget,25,45,25,45
0,6,74,full_threshold_0p5,75,98,75,98
0,6,74,cropped_threshold_0p5,74,97,74,97
0,6,74,cropped_calibrated,74,110,74,110
0,6,74,cropped_fixed_budget,56,45,10,9
0,7,23,full_threshold_0p5,16,12,6,5
0,7,23,cropped_threshold_0p5,8,6,6,5
0,7,23,cropped_calibrated,15,13,10,9
0,7,23,cropped_fixed_budget,23,45,23,45
0,8,49,full_threshold_0p5,30,29,30,29
0,8,49,cropped_threshold_0p5,30,29,30,29
0,8,49,cropped_calibrated,30,29,30,29
0,8,49,cropped_fixed_budget,34,45,34,45
0,9,85,full_threshold_0p5,24,25,24,25
0,9,85,cropped_threshold_0p5,24,25,24,25
0,9,85,cropped_calibrated,26,31,26,31
0,9,85,cropped_fixed_budget,34,45,34,45
0,10,74,full_threshold_0p5,75,70,32,31
0,10,74,cropped_threshold_0p5,73,68,30,29
0,10,74,cropped_calibrated,74,85,74,85
0,10,74,cropped_fixed_budget,53,45,20,19
0,11,48,full_threshold_0p5,68,89,60,84
0,11,48,cropped_threshold_0p5,40,50,36,48
0,11,48,cropped_calibrated,46,73,46,73
0,11,48,cropped_fixed_budget,40,45,36,43
0,12,95,full_threshold_0p5,22,20,17,16
0,12,95,cropped_threshold_0p5,22,20,17,16
0,12,95,cropped_calibrated,28,31,28,31
0,12,95,cropped_fixed_budget,33,45,33,45
0,13,58,full_threshold_0p5,55,55,55,55
0,13,58,cropped_threshold_0p5,55,55,55,55
0,13,58,cropped_calibrated,56,64,56,64
0,13,58,cropped_fixed_budget,49,45,40,39
0,14,43,full_threshold_0p5,15,14,12,12
0,14,43,cropped_threshold_0p5,15,14,12,12
0,14,43,cropped_calibrated,16,21,16,21
0,14,43,cropped_fixed_budget,23,45,23,45
0,15,36,full_threshold_0p5,18,13,5,4
0,15,36,cropped_threshold_0p5,10,7,4,3
0,15,36,cropped_calibrated,21,15,7,6
0,15,36,cropped_fixed_budget,36,45,36,45
0,16,50,full_threshold_0p5,25,24,25,24
0,16,50,cropped_threshold_0p5,25,24,25,24
0,16,50,cropped_calibrated,41,43,37,41
0,16,50,cropped_fixed_budget,43,45,39,43
0,17,68,full_threshold_0p5,23,17,9,8
0,17,68,cropped_threshold_0p5,23,17,9,8
0,17,68,cropped_calibrated,27,27,27,27
0,17,68,cropped_fixed_budget,34,45,34,45
0,18,65,full_threshold_0p5,51,44,23,22
0,18,65,cropped_threshold_0p5,40,35,23,22
0,18,65,cropped_calibrated,58,62,58,62
0,18,65,cropped_fixed_budget,50,45,32,31
0,19,96,full_threshold_0p5,66,61,44,43
0,19,96,cropped_threshold_0p5,66,61,44,43
0,19,96,cropped_calibrated,72,75,72,75
0,19,96,cropped_fixed_budget,53,45,26,25
1,0,30,full_threshold_0p5,44,37,16,15
1,0,30,cropped_threshold_0p5,22,19,15,14
1,0,30,cropped_calibrated,25,28,22,26
1,0,30,cropped_fixed_budget,30,45,30,45
1,1,71,full_threshold_0p5,26,23,20,19
1,1,71,cropped_threshold_0p5,26,23,20,19
1,1,71,cropped_calibrated,32,36,32,36
1,1,71,cropped_fixed_budget,34,45,34,45
1,2,73,full_threshold_0p5,95,95,77,79
1,2,73,cropped_threshold_0p5,71,73,71,73
1,2,73,cropped_calibrated,73,77,73,77
1,2,73,cropped_fixed_budget,51,45,26,25
1,3,92,full_threshold_0p5,36,30,13,12
1,3,92,cropped_threshold_0p5,36,30,13,12
1,3,92,cropped_calibrated,42,38,20,19
1,3,92,cropped_fixed_budget,45,45,43,44
1,4,86,full_threshold_0p5,60,64,55,61
1,4,86,cropped_threshold_0p5,60,64,55,61
1,4,86,cropped_calibrated,78,104,69,96
1,4,86,cropped_fixed_budget,49,45,22,21
1,5,25,full_threshold_0p5,25,24,25,24
1,5,25,cropped_threshold_0p5,19,17,14,13
1,5,25,cropped_calibrated,21,20,16,16
1,5,25,cropped_fixed_budget,25,45,25,45
1,6,74,full_threshold_0p5,20,16,11,10
1,6,74,cropped_threshold_0p5,20,16,11,10
1,6,74,cropped_calibrated,28,27,28,27
1,6,74,cropped_fixed_budget,35,45,35,45
1,7,23,full_threshold_0p5,48,47,48,47
1,7,23,cropped_threshold_0p5,23,22,23,22
1,7,23,cropped_calibrated,23,22,23,22
1,7,23,cropped_fixed_budget,23,45,23,45
1,8,49,full_threshold_0p5,15,14,15,14
1,8,49,cropped_threshold_0p5,15,14,15,14
1,8,49,cropped_calibrated,18,19,18,19
1,8,49,cropped_fixed_budget,26,45,26,45
1,9,85,full_threshold_0p5,11,8,7,6
1,9,85,cropped_threshold_0p5,11,8,7,6
1,9,85,cropped_calibrated,26,23,13,12
1,9,85,cropped_fixed_budget,44,45,35,40
1,10,74,full_threshold_0p5,19,14,8,7
1,10,74,cropped_threshold_0p5,19,14,8,7
1,10,74,cropped_calibrated,33,31,18,19
1,10,74,cropped_fixed_budget,49,45,29,30
1,11,48,full_threshold_0p5,33,33,33,33
1,11,48,cropped_threshold_0p5,33,33,33,33
1,11,48,cropped_calibrated,33,35,33,35
1,11,48,cropped_fixed_budget,35,45,33,44
