Source,Run,Row Type,Setting,Replicate,Epoch,Split,Model Source,Normalized Score,Score Mode,Degree,Clustering,Orbit,Spectral,Diameter,MMD RBF,MMD RBF Std,MMD Linear,MMD Linear Std,MMD Linear Median,MMD Linear Trimmed Mean,Precision,Precision Std,Recall,Recall Std,F1-PR,F1-PR Std,Avg Edges Test,Avg Edges Generated,Generated Graphs,Reference Graphs,Run Dir,Notes
lobster_docx_20260708,GraphVAE motif original temp,historical_docx_posthoc,06,,,saved validation sample,post-hoc saved generated sample,0.465120983015,docx_table2_plus_docx_table3,0.0296,0.0381,0.0268,0.0331,0.0228,0.1999,,13.1825,,,,1,,1,,1,,45.4,28.7,,,,Source metrics CSV says this was a post-hoc eval on a saved best-validation generated graph sample; the source run crashed before normal finalization.
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1,best_validation_metadata,06,3,8999,validation,best_validation_mmd_model,0.441825136457,normalized_table2_table3,0.0143473233309,0.0989724237874,0.0388039353841,0.0306606716635,0.0154190385838,0.20103699258,0.00486831750716,,,,,1,0,1,0,1.00001,0,45.4,44.1,runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1/Single_comp_generatedGraphs_adj_8998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1,Same validation sample as the best-validation checkpoint metadata.
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1,best_validation_metadata,06,1,2999,validation,best_validation_mmd_model,0.570425944718,normalized_table2_table3,0.0287968474075,0.219417069797,0.0769913476297,0.0442982968695,0.0784715029841,0.0200214743614,8.35997162662e-06,,,,,0.86,0.0663324958071,1,0,0.923298688914,0.0404689641305,45.4,507.6,runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1/Single_comp_generatedGraphs_adj_2998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1,Same validation sample as the best-validation checkpoint metadata.
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep2__cs-cl-26_gpu0,best_validation_metadata,06,2,2999,validation,best_validation_mmd_model,0.570425944718,normalized_table2_table3,0.0287968474075,0.219417069797,0.0769913476297,0.0442982968695,0.0784715029841,0.0200214743614,8.35997162662e-06,,,,,0.86,0.0663324958071,1,0,0.923298688914,0.0404689641305,45.4,507.6,runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep2__cs-cl-26_gpu0/Single_comp_generatedGraphs_adj_2998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep2__cs-cl-26_gpu0/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep2__cs-cl-26_gpu0,Same validation sample as the best-validation checkpoint metadata.
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1,validation_generated_sample,06,3,8999,validation,validation_epoch_model,0.441825136457,normalized_table2_table3,0.0143473233309,0.0989724237874,0.0388039353841,0.0306606716635,0.0154190385838,0.20103699258,0.00486831750716,,,,,1,0,1,0,1.00001,0,45.4,44.1,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1/Single_comp_generatedGraphs_adj_8998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1,
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1,validation_generated_sample,06,3,2999,validation,validation_epoch_model,0.544767942097,normalized_table2_table3,0.0193266246948,0.0730333805589,0.0265239550546,0.0363080644735,0.032809744311,0.144951860514,0.0487103744343,,,,,0.9,0,1,0,0.947378448753,2.22044604925e-16,45.4,54.9,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1/Single_comp_generatedGraphs_adj_2998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1,
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1,validation_generated_sample,06,1,2999,validation,validation_epoch_model,0.570425944718,normalized_table2_table3,0.0287968474075,0.219417069797,0.0769913476297,0.0442982968695,0.0784715029841,0.0200214743614,8.35997162662e-06,,,,,0.86,0.0663324958071,1,0,0.923298688914,0.0404689641305,45.4,507.6,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1/Single_comp_generatedGraphs_adj_2998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1,
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep2__cs-cl-26_gpu0,validation_generated_sample,06,2,2999,validation,validation_epoch_model,0.570425944718,normalized_table2_table3,0.0287968474075,0.219417069797,0.0769913476297,0.0442982968695,0.0784715029841,0.0200214743614,8.35997162662e-06,,,,,0.86,0.0663324958071,1,0,0.923298688914,0.0404689641305,45.4,507.6,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep2__cs-cl-26_gpu0/Single_comp_generatedGraphs_adj_2998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep2__cs-cl-26_gpu0/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep2__cs-cl-26_gpu0,
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1,validation_generated_sample,06,3,6999,validation,validation_epoch_model,0.602160110613,normalized_table2_table3,0.00993632418897,0.34414568412,0.0216870129867,0.0473580547748,0.075651773441,0.213633323008,0.0207318958917,,,,,1,0,1,0,1.00001,0,45.4,32.9,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1/Single_comp_generatedGraphs_adj_6998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep3__cs-cl-09_gpu1,
setting6_exact_no_guard,lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1,validation_generated_sample,06,1,4999,validation,validation_epoch_model,0.610386750169,normalized_table2_table3,0.0165431179567,0.133055042122,0.0537026640825,0.0481571296222,0.21040645785,0.0200624227524,3.0249708977e-05,,,,,0.9,0,1,0,0.947378448753,2.22044604925e-16,45.4,495.3,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1/Single_comp_generatedGraphs_adj_4998.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1/testGraphs_adj_.npy,collected_runs/20260708/lobster_setting6_exact_no_guard/lobster_setting6_exact_no_guard_rep1__cs-cl-19_gpu1,
