rollout,graph_index,target_nodes,mode,raw_nodes,raw_edges,lcc_nodes,lcc_edges
0,0,30,full_threshold_0p5,21,18,15,14
0,0,30,cropped_threshold_0p5,14,13,14,13
0,0,30,cropped_calibrated,5,4,5,4
0,0,30,cropped_fixed_budget,28,45,28,45
0,1,71,full_threshold_0p5,21,23,19,22
0,1,71,cropped_threshold_0p5,21,23,19,22
0,1,71,cropped_calibrated,4,2,2,1
0,1,71,cropped_fixed_budget,44,45,26,30
0,2,73,full_threshold_0p5,98,2677,98,2677
0,2,73,cropped_threshold_0p5,73,1645,73,1645
0,2,73,cropped_calibrated,62,78,54,72
0,2,73,cropped_fixed_budget,46,45,38,40
0,3,92,full_threshold_0p5,98,4717,98,4717
0,3,92,cropped_threshold_0p5,92,4150,92,4150
0,3,92,cropped_calibrated,91,356,91,356
0,3,92,cropped_fixed_budget,44,45,27,32
0,4,86,full_threshold_0p5,85,198,80,194
0,4,86,cropped_threshold_0p5,77,191,77,191
0,4,86,cropped_calibrated,6,5,6,5
0,4,86,cropped_fixed_budget,40,45,38,44
0,5,25,full_threshold_0p5,35,30,18,17
0,5,25,cropped_threshold_0p5,15,14,15,14
0,5,25,cropped_calibrated,3,2,3,2
0,5,25,cropped_fixed_budget,24,45,24,45
0,6,74,full_threshold_0p5,91,110,82,102
0,6,74,cropped_threshold_0p5,66,85,66,85
0,6,74,cropped_calibrated,7,5,5,4
0,6,74,cropped_fixed_budget,47,45,22,24
0,7,23,full_threshold_0p5,26,24,23,22
0,7,23,cropped_threshold_0p5,19,18,19,18
0,7,23,cropped_calibrated,4,2,2,1
0,7,23,cropped_fixed_budget,23,45,23,45
0,8,49,full_threshold_0p5,11,10,11,10
0,8,49,cropped_threshold_0p5,10,9,10,9
0,8,49,cropped_calibrated,5,3,3,2
0,8,49,cropped_fixed_budget,32,45,27,42
0,9,85,full_threshold_0p5,22,21,20,20
0,9,85,cropped_threshold_0p5,22,21,20,20
0,9,85,cropped_calibrated,8,6,5,4
0,9,85,cropped_fixed_budget,42,45,27,36
0,10,74,full_threshold_0p5,23,18,12,12
0,10,74,cropped_threshold_0p5,23,18,12,12
0,10,74,cropped_calibrated,2,1,2,1
0,10,74,cropped_fixed_budget,40,45,37,43
0,11,48,full_threshold_0p5,21,19,17,17
0,11,48,cropped_threshold_0p5,20,18,16,16
0,11,48,cropped_calibrated,7,5,4,3
0,11,48,cropped_fixed_budget,39,45,30,38
0,12,95,full_threshold_0p5,17,16,13,14
0,12,95,cropped_threshold_0p5,15,15,13,14
0,12,95,cropped_calibrated,4,3,4,3
0,12,95,cropped_fixed_budget,33,45,29,43
0,13,58,full_threshold_0p5,45,42,25,27
0,13,58,cropped_threshold_0p5,45,42,25,27
0,13,58,cropped_calibrated,3,2,3,2
0,13,58,cropped_fixed_budget,47,45,27,29
0,14,43,full_threshold_0p5,87,86,85,85
0,14,43,cropped_threshold_0p5,43,43,43,43
0,14,43,cropped_calibrated,13,11,7,6
0,14,43,cropped_fixed_budget,43,45,43,45
0,15,36,full_threshold_0p5,18,16,14,14
0,15,36,cropped_threshold_0p5,14,14,14,14
0,15,36,cropped_calibrated,4,3,4,3
0,15,36,cropped_fixed_budget,32,45,32,45
0,16,50,full_threshold_0p5,96,586,96,586
0,16,50,cropped_threshold_0p5,50,348,50,348
0,16,50,cropped_calibrated,19,14,5,4
0,16,50,cropped_fixed_budget,42,45,38,42
0,17,68,full_threshold_0p5,22,21,22,21
0,17,68,cropped_threshold_0p5,21,20,21,20
0,17,68,cropped_calibrated,5,3,3,2
0,17,68,cropped_fixed_budget,39,45,37,44
0,18,65,full_threshold_0p5,29,27,15,16
0,18,65,cropped_threshold_0p5,29,27,15,16
0,18,65,cropped_calibrated,4,3,4,3
0,18,65,cropped_fixed_budget,41,45,31,38
0,19,96,full_threshold_0p5,32,31,24,26
0,19,96,cropped_threshold_0p5,31,29,23,24
0,19,96,cropped_calibrated,11,8,5,4
0,19,96,cropped_fixed_budget,40,45,34,41
1,0,30,full_threshold_0p5,98,4639,98,4639
1,0,30,cropped_threshold_0p5,30,395,30,395
1,0,30,cropped_calibrated,29,41,27,40
1,0,30,cropped_fixed_budget,29,45,27,44
1,1,71,full_threshold_0p5,50,49,50,49
1,1,71,cropped_threshold_0p5,50,49,50,49
1,1,71,cropped_calibrated,11,9,7,6
1,1,71,cropped_fixed_budget,47,45,43,42
1,2,73,full_threshold_0p5,20,18,11,13
1,2,73,cropped_threshold_0p5,18,17,11,13
1,2,73,cropped_calibrated,3,2,3,2
1,2,73,cropped_fixed_budget,40,45,31,38
1,3,92,full_threshold_0p5,45,42,35,36
1,3,92,cropped_threshold_0p5,43,41,35,36
1,3,92,cropped_calibrated,3,2,3,2
1,3,92,cropped_fixed_budget,48,45,35,36
1,4,86,full_threshold_0p5,48,41,13,13
1,4,86,cropped_threshold_0p5,47,40,12,12
1,4,86,cropped_calibrated,5,4,5,4
1,4,86,cropped_fixed_budget,50,45,20,20
1,5,25,full_threshold_0p5,67,70,38,44
1,5,25,cropped_threshold_0p5,22,28,22,28
1,5,25,cropped_calibrated,7,6,7,6
1,5,25,cropped_fixed_budget,25,45,25,45
1,6,74,full_threshold_0p5,26,22,14,14
1,6,74,cropped_threshold_0p5,26,22,14,14
1,6,74,cropped_calibrated,2,1,2,1
1,6,74,cropped_fixed_budget,46,45,22,27
1,7,23,full_threshold_0p5,73,71,71,70
1,7,23,cropped_threshold_0p5,23,22,23,22
1,7,23,cropped_calibrated,8,5,4,3
1,7,23,cropped_fixed_budget,23,45,23,45
1,8,49,full_threshold_0p5,17,16,13,13
1,8,49,cropped_threshold_0p5,16,15,12,12
1,8,49,cropped_calibrated,4,3,4,3
1,8,49,cropped_fixed_budget,39,45,39,45
1,9,85,full_threshold_0p5,26,32,26,32
1,9,85,cropped_threshold_0p5,25,30,25,30
1,9,85,cropped_calibrated,6,4,3,2
1,9,85,cropped_fixed_budget,36,45,30,42
1,10,74,full_threshold_0p5,15,13,13,12
1,10,74,cropped_threshold_0p5,14,12,12,11
1,10,74,cropped_calibrated,3,2,3,2
1,10,74,cropped_fixed_budget,36,45,32,43
1,11,48,full_threshold_0p5,29,25,16,16
1,11,48,cropped_threshold_0p5,19,18,16,16
1,11,48,cropped_calibrated,3,2,3,2
1,11,48,cropped_fixed_budget,37,45,37,45
1,12,95,full_threshold_0p5,31,28,21,23
1,12,95,cropped_threshold_0p5,31,28,21,23
1,12,95,cropped_calibrated,3,2,3,2
1,12,95,cropped_fixed_budget,40,45,30,37
1,13,58,full_threshold_0p5,68,68,62,63
1,13,58,cropped_threshold_0p5,56,56,50,51
1,13,58,cropped_calibrated,11,8,4,3
1,13,58,cropped_fixed_budget,51,45,25,24
1,14,43,full_threshold_0p5,98,4608,98,4608
1,14,43,cropped_threshold_0p5,43,811,43,811
1,14,43,cropped_calibrated,39,49,37,48
1,14,43,cropped_fixed_budget,39,45,37,44
1,15,36,full_threshold_0p5,35,35,26,30
1,15,36,cropped_threshold_0p5,24,26,20,24
1,15,36,cropped_calibrated,9,8,9,8
1,15,36,cropped_fixed_budget,31,45,31,45
1,16,50,full_threshold_0p5,50,48,21,23
1,16,50,cropped_threshold_0p5,24,25,21,23
1,16,50,cropped_calibrated,4,3,4,3
1,16,50,cropped_fixed_budget,41,45,30,36
1,17,68,full_threshold_0p5,92,109,92,109
1,17,68,cropped_threshold_0p5,67,82,67,82
1,17,68,cropped_calibrated,5,3,3,2
1,17,68,cropped_fixed_budget,51,45,27,26
1,18,65,full_threshold_0p5,98,4744,98,4744
1,18,65,cropped_threshold_0p5,65,2071,65,2071
1,18,65,cropped_calibrated,65,1950,65,1950
1,18,65,cropped_fixed_budget,33,45,33,45
1,19,96,full_threshold_0p5,23,19,16,15
1,19,96,cropped_threshold_0p5,21,18,16,15
1,19,96,cropped_calibrated,3,2,3,2
1,19,96,cropped_fixed_budget,48,45,23,28
2,0,30,full_threshold_0p5,97,542,97,542
2,0,30,cropped_threshold_0p5,30,117,30,117
2,0,30,cropped_calibrated,8,5,4,3
2,0,30,cropped_fixed_budget,30,45,30,45
