dataset,setting,method,status,mmd_linear_mean,mmd_linear_std,mmd_rbf_mean,mmd_rbf_std,f1_pr_mean,f1_pr_std,num_generated_graphs,num_reference_graphs,repeats,note
LOBSTER,01,GraphVAE,evaluated,52.9573634147644,41.09988219495706,0.20604217909276484,0.04164368778407283,0.7293015349672587,0.1301549755469963,20,20,10,
LOBSTER,02,GraphVAE-MM,evaluated,45.780108261108396,6.495437229922955,0.30447729825973513,0.003991087442675317,0.9670612866534702,0.011162687397988301,20,20,10,
LOBSTER,03,GraphVAE+Motif orig no-temp,evaluated,46646.45966796875,84892.2497177808,1.1550659470260143,0.10266987658514484,1.9999648487346656e-05,1.9523487781786635e-10,20,20,10,
LOBSTER,04,GraphVAE+Motif literals no-temp,evaluated,3816.464392089844,4890.716279313498,0.8001117378473281,0.05024825429428332,0.09525628102321862,0.0,20,20,10,
LOBSTER,05,GraphVAE+Motif both no-temp,evaluated,1601.0872375488282,1226.176047598757,0.70169977247715,0.051376933142337274,0.20338549281766652,0.07214593159973172,20,20,10,
LOBSTER,06,GraphVAE+Motif orig annealed,evaluated,51555.63603515625,98007.99810570905,1.068646851181984,0.07778163141167119,1.9999764236563054e-05,4.8500563377679865e-11,20,20,10,
LOBSTER,07,GraphVAE+Motif literals annealed,evaluated,2019.9552612304688,1906.3944231975272,0.7521491765975952,0.06629341697374867,0.1679632341620134,0.09571485793692412,20,20,10,
LOBSTER,08,GraphVAE+Motif both annealed,evaluated,2444.4952026367187,2453.268289838709,0.6946525424718857,0.053688982569811236,0.16495787417749022,0.09066627835386373,20,20,10,
LOBSTER,09,GraphVAE-MM+Motif orig no-temp,evaluated,40.13837089538574,5.919686677899408,0.3024104654788971,0.008429429600900611,1.00001,0.0,20,20,10,
LOBSTER,10,GraphVAE-MM+Motif literals no-temp,evaluated,61.5161678314209,8.537799450124728,0.424893456697464,0.006805724759220129,1.00001,0.0,20,20,10,
LOBSTER,11,GraphVAE-MM+Motif both no-temp,evaluated,44.618408584594725,6.203935450193148,0.27814953625202177,0.004318961236981189,1.00001,0.0,20,20,10,
GRID,01,GraphVAE,evaluated,3171.2471557617187,8180.422191307826,0.23759592324495316,0.10853390423669092,0.6339408192072022,0.18177689052912266,20,20,10,
GRID,02,GraphVAE-MM,evaluated,7358.011152648925,18411.403979923343,0.6336519360542298,0.16198609629836827,0.38110134078590746,0.23532859853080526,20,20,10,
GRID,03,GraphVAE+Motif orig no-temp,evaluated,142291.3576171875,360073.1886523446,1.1284493304789067,0.06493669334528296,1.999970001014962e-05,1.0723098959505109e-10,20,20,10,
GRID,04,GraphVAE+Motif literals no-temp,not evaluated,,,,,,,,,,OOM/no generated graphs
GRID,05,GraphVAE+Motif both no-temp,evaluated,142850.7132080078,354111.1698640281,1.043347790837288,0.08258588574448726,0.019067256044646923,0.038094512489285845,20,20,10,
GRID,06,GraphVAE+Motif orig annealed,evaluated,448047.6151367187,1155253.3436945898,1.2981161796487868,0.1068182333397168,1e-05,0.0,20,20,10,
GRID,07,GraphVAE+Motif literals annealed,not evaluated,,,,,,,,,,OOM/no generated graphs
GRID,08,GraphVAE+Motif both annealed,not evaluated,,,,,,,,,,OOM/no generated graphs
GRID,09,GraphVAE-MM+Motif orig no-temp,not evaluated,,,,,,,,,,OOM/no generated graphs
GRID,10,GraphVAE-MM+Motif literals no-temp,not evaluated,,,,,,,,,,OOM/no generated graphs
GRID,11,GraphVAE-MM+Motif both no-temp,not evaluated,,,,,,,,,,OOM/no generated graphs
