run_dir,num_generated_graphs,num_reference_graphs,repeats,structural_features,f1_pr_mean,f1_pr_std,mmd_rbf_mean,mmd_rbf_std,precision_mean,precision_std,recall_mean,recall_std
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_01_graphvae__cs-cl-09_gpu0,20,20,10,True,0.7293015349672587,0.1301549755469963,0.20604217909276484,0.04164368778407283,0.5900000000000001,0.157797338380595,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_02_graphvae_mm__cs-cl-09_gpu1,20,20,10,True,0.9670612866534702,0.011162687397988301,0.30447729825973513,0.003991087442675317,0.9499999999999998,1.1102230246251565e-16,0.985,0.02291287847477922
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_03_graphvae_motif_original_no_temp__cs-cl-13_gpu0,20,20,10,True,1.9999648487346656e-05,1.9523487781786635e-10,1.1550659470260143,0.10266987658514484,0.0,0.0,0.715,0.2784331158465171
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_04_graphvae_motif_literals_no_temp__cs-cl-16_gpu0,20,20,10,True,0.09525628102321862,0.0,0.8001117378473281,0.05024825429428332,0.05,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_05_graphvae_motif_both_no_temp__cs-cl-17_gpu0,20,20,10,True,0.20338549281766652,0.07214593159973172,0.70169977247715,0.051376933142337274,0.11500000000000002,0.045,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_06_graphvae_motif_original_temp__cs-cl-17_gpu1,20,20,10,True,1.9999764236563054e-05,4.8500563377679865e-11,1.068646851181984,0.07778163141167119,0.0,0.0,0.8800000000000001,0.15524174696260024
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_07_graphvae_motif_literals_temp__cs-cl-19_gpu0,20,20,10,True,0.1679632341620134,0.09571485793692412,0.7521491765975952,0.06629341697374867,0.095,0.05678908345800274,0.975,0.03354101966249685
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_08_graphvae_motif_both_temp__cs-cl-19_gpu1,20,20,10,True,0.16495787417749022,0.09066627835386373,0.6946525424718857,0.053688982569811236,0.095,0.05678908345800274,0.9,0.10246950765959598
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_09_graphvae_mm_motif_original_no_temp__cs-cl-26_gpu0,20,20,10,True,1.00001,0.0,0.3024104654788971,0.008429429600900611,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_10_graphvae_mm_motif_literals_no_temp__cs-cl-26_gpu1,20,20,10,True,1.00001,0.0,0.424893456697464,0.006805724759220129,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260629/cluster_smoke_grid_motif/lobster_table2_11_graphvae_mm_motif_both_no_temp__cs-cl-36_gpu0,20,20,10,True,1.00001,0.0,0.27814953625202177,0.004318961236981189,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260630/cluster_grid_table2_b16_mb8/grid_table2_01_graphvae__cs-cl-09_gpu0,20,20,10,True,0.6339408192072022,0.18177689052912266,0.23759592324495316,0.10853390423669092,0.49000000000000005,0.19595917942265426,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260630/cluster_grid_table2_b16_mb8/grid_table2_02_graphvae_mm__cs-cl-09_gpu1,20,20,10,True,0.38110134078590746,0.23532859853080526,0.6336519360542298,0.16198609629836827,0.265,0.205,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260630/cluster_grid_table2_b16_mb8/grid_table2_03_graphvae_motif_original_no_temp__cs-cl-13_gpu0,20,20,10,True,1.999970001014962e-05,1.0723098959505109e-10,1.1284493304789067,0.06493669334528296,0.0,0.0,0.75,0.23769728648009425
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260630/cluster_grid_table2_b16_mb8/grid_table2_05_graphvae_motif_both_no_temp__cs-cl-17_gpu0,20,20,10,True,0.019067256044646923,0.038094512489285845,1.043347790837288,0.08258588574448726,0.01,0.02,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260630/cluster_grid_table2_b16_mb8/grid_table2_06_graphvae_motif_original_temp__cs-cl-17_gpu1,20,20,10,True,1e-05,0.0,1.2981161796487868,0.1068182333397168,0.0,0.0,0.0,0.0
